Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
33,,2022-12-27,27-102,DEN,@,SAC,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2022-12-28,27-103,DEN,@,SAC,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,30,2022-12-30,27-105,DEN,,MIA,W (+5),1,33:06,4,8,.500,0,1,.000,3,5,.600,1,4,5,3,2,0,3,1,11,8.8,0
36,31,2023-01-01,27-107,DEN,,BOS,W (+12),1,36:58,6,13,.462,1,2,.500,5,6,.833,1,5,6,7,2,1,2,1,18,18.3,+23
37,32,2023-01-02,27-108,DEN,@,MIN,L (-13),1,33:25,4,18,.222,0,3,.000,4,6,.667,12,4,16,6,1,0,1,3,12,12.8,-10
38,33,2023-01-05,27-111,DEN,,LAC,W (+31),1,21:09,5,7,.714,0,0,,3,4,.750,4,3,7,3,0,0,1,0,13,14.5,+22
39,34,2023-01-06,27-112,DEN,,CLE,W (+13),1,29:57,4,8,.500,1,2,.500,3,6,.500,2,8,10,1,0,0,0,2,12,10.5,+16
40,35,2023-01-09,27-115,DEN,,LAL,W (+13),1,22:04,4,8,.500,1,5,.200,0,1,.000,1,9,10,0,0,4,4,2,9,6.0,+6
41,36,2023-01-11,27-117,DEN,,PHO,W (+29),1,23:52,4,4,1.000,0,0,,4,6,.667,0,0,0,2,1,1,0,2,12,12.3,+18
42,37,2023-01-13,27-119,DEN,@,LAC,W (+12),1,31:44,6,8,.750,2,3,.667,3,5,.600,0,5,5,5,0,0,3,2,17,14.2,+16
43,38,2023-01-15,27-121,DEN,,ORL,W (+3),1,32:24,9,13,.692,2,3,.667,5,11,.455,3,5,8,5,0,0,1,2,25,22.4,+11
44,39,2023-01-17,27-123,DEN,,POR,W (+9),1,31:33,3,8,.375,0,1,.000,5,5,1.000,2,5,7,8,1,1,2,0,11,14.8,+20
45,40,2023-01-18,27-124,DEN,,MIN,W (+4),1,29:04,5,9,.556,1,4,.250,1,2,.500,2,1,3,1,0,1,2,4,12,6.8,+10
46,41,2023-01-20,27-126,DEN,,IND,W (+23),1,30:24,11,15,.733,1,2,.500,5,9,.556,2,3,5,6,0,0,3,4,28,22.2,+26
47,42,2023-01-22,27-128,DEN,,OKC,L (-2),1,38:05,4,15,.267,1,3,.333,6,13,.462,4,6,10,1,2,1,2,1,15,8.9,-2
48,43,2023-01-24,27-130,DEN,@,NOP,W (+1),1,23:39,4,7,.571,1,1,1.000,2,4,.500,0,4,4,3,0,1,3,4,11,6.3,0
49,44,2023-01-25,27-131,DEN,@,MIL,L (-8),1,37:11,10,24,.417,3,5,.600,3,4,.750,7,7,14,4,0,2,1,3,26,21.8,+5
50,45,2023-01-28,27-134,DEN,@,PHI,L (-7),1,29:23,8,10,.800,0,1,.000,2,4,.500,1,4,5,3,0,0,0,1,18,17.0,+5
51,46,2023-01-31,27-137,DEN,,NOP,W (+9),1,35:56,6,12,.500,1,3,.333,2,5,.400,2,4,6,6,0,0,0,3,15,13.4,+22
52,,2023-02-02,27-139,DEN,,GSW,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,47,2023-02-04,27-141,DEN,,ATL,W (+20),1,29:46,7,10,.700,0,1,.000,1,1,1.000,2,4,6,4,0,1,0,1,15,16.5,+19
54,,2023-02-05,27-142,DEN,@,MIN,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,48,2023-02-07,27-144,DEN,,MIN,W (+34),1,25:56,8,11,.727,2,3,.667,6,8,.750,0,3,3,8,4,2,3,1,24,27.2,+32
56,49,2023-02-09,27-146,DEN,@,ORL,L (-11),1,37:51,15,21,.714,3,6,.500,4,7,.571,3,10,13,3,1,1,2,1,37,33.6,+5
57,,2023-02-11,27-148,DEN,@,CHO,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,2023-02-13,27-150,DEN,@,MIA,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
