Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
17,14,2022-11-20,32-285,GSW,@,HOU,W (+7),1,35:34,14,23,.609,10,13,.769,3,4,.750,2,2,4,3,2,0,2,1,41,33.8,+14
18,,2022-11-21,32-286,GSW,@,NOP,L (-45),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,15,2022-11-23,32-288,GSW,,LAC,W (+17),1,27:13,5,10,.500,3,7,.429,5,6,.833,0,0,0,0,2,0,4,1,18,10.2,+11
20,16,2022-11-25,32-290,GSW,,UTA,W (+11),1,35:07,7,16,.438,6,12,.500,0,0,,1,5,6,1,0,0,1,1,20,13.1,+9
21,17,2022-11-27,32-292,GSW,@,MIN,W (+23),1,29:56,8,13,.615,5,8,.625,0,0,,0,2,2,2,2,1,1,2,21,18.0,+31
22,18,2022-11-29,32-294,GSW,@,DAL,L (-3),1,31:02,2,9,.222,1,6,.167,0,0,,0,7,7,2,0,0,1,1,5,1.6,-21
23,19,2022-12-02,32-297,GSW,,CHI,W (+8),1,36:50,9,21,.429,3,13,.231,5,5,1.000,1,4,5,6,0,0,1,2,26,19.2,+11
24,,2022-12-03,32-298,GSW,,HOU,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,20,2022-12-05,32-300,GSW,,IND,L (-8),1,36:34,9,23,.391,8,16,.500,2,2,1.000,2,0,2,4,0,1,0,1,28,20.0,+1
26,21,2022-12-07,32-302,GSW,@,UTA,L (-1),1,35:42,8,25,.320,4,11,.364,2,2,1.000,0,2,2,3,1,3,2,2,22,10.7,-7
27,22,2022-12-10,32-305,GSW,,BOS,W (+16),1,35:46,14,26,.538,4,11,.364,2,2,1.000,2,3,5,2,2,1,1,5,34,24.8,+9
28,23,2022-12-13,32-308,GSW,@,MIL,L (-17),1,27:08,6,16,.375,2,7,.286,0,0,,1,0,1,2,0,0,1,1,14,5.9,-21
29,,2022-12-14,32-309,GSW,@,IND,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,24,2022-12-16,32-311,GSW,@,PHI,L (-12),1,35:00,4,17,.235,3,8,.375,1,1,1.000,0,3,3,0,3,1,4,3,12,1.1,-9
31,25,2022-12-18,32-313,GSW,@,TOR,W (+16),1,34:32,6,14,.429,3,9,.333,2,2,1.000,0,7,7,4,1,0,1,2,17,13.7,+14
32,26,2022-12-20,32-315,GSW,@,NYK,L (-38),1,26:26,5,12,.417,1,5,.200,0,0,,0,4,4,2,0,0,5,2,11,1.4,-28
33,,2022-12-21,32-316,GSW,@,BRK,L (-30),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
