Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
33,,2022-12-21,34-282,GSW,@,BRK,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2022-12-25,34-286,GSW,,MEM,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2022-12-27,34-288,GSW,,CHO,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2022-12-28,34-289,GSW,,UTA,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2022-12-30,34-291,GSW,,POR,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2023-01-02,34-294,GSW,,ATL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2023-01-04,34-296,GSW,,DET,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2023-01-07,34-299,GSW,,ORL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,27,2023-01-10,34-302,GSW,,PHO,L (-12),1,31:16,8,22,.364,5,15,.333,3,4,.750,1,0,1,3,1,0,1,4,24,12.6,-19
42,28,2023-01-13,34-305,GSW,@,SAS,W (+31),1,23:07,6,12,.500,2,7,.286,1,1,1.000,0,4,4,3,0,1,0,3,15,11.8,+12
43,29,2023-01-15,34-307,GSW,@,CHI,L (-14),1,34:29,8,15,.533,3,10,.300,1,2,.500,0,10,10,4,0,1,8,2,20,10.0,-9
44,30,2023-01-16,34-308,GSW,@,WAS,W (+9),1,37:50,12,28,.429,6,15,.400,11,12,.917,1,6,7,2,0,0,4,1,41,25.3,+14
45,31,2023-01-19,34-311,GSW,@,BOS,L (-3),1,43:05,9,25,.360,6,18,.333,5,5,1.000,0,4,4,7,3,2,3,1,29,22.2,+9
46,,2023-01-20,34-312,GSW,@,CLE,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,32,2023-01-22,34-314,GSW,,BRK,L (-4),1,37:35,7,16,.438,4,8,.500,8,8,1.000,1,5,6,7,1,0,5,2,26,19.9,-8
48,33,2023-01-25,34-317,GSW,,MEM,W (+2),1,34:47,10,19,.526,4,8,.500,10,11,.909,0,2,2,3,2,0,3,3,34,24.8,-3
49,34,2023-01-27,34-319,GSW,,TOR,W (+12),1,38:47,13,21,.619,4,8,.500,5,5,1.000,0,7,7,11,2,0,3,1,35,33.9,+13
50,35,2023-01-30,34-322,GSW,@,OKC,W (+8),1,36:36,12,20,.600,8,14,.571,6,6,1.000,1,7,8,12,0,1,4,0,38,36.7,+17
51,36,2023-02-01,34-324,GSW,@,MIN,L (-5),1,42:22,8,21,.381,5,12,.417,8,9,.889,0,10,10,3,1,1,4,5,29,17.9,-5
52,37,2023-02-02,34-325,GSW,@,DEN,L (-17),1,33:11,10,17,.588,5,10,.500,3,3,1.000,2,3,5,5,0,0,6,4,28,18.3,-16
53,38,2023-02-04,34-327,GSW,,DAL,W (+6),1,25:33,7,11,.636,2,6,.333,5,5,1.000,0,6,6,7,0,0,0,2,21,22.0,+14
54,,2023-02-06,34-329,GSW,,OKC,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,2023-02-08,34-331,GSW,@,POR,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,2023-02-11,34-334,GSW,,LAL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2023-02-13,34-336,GSW,,WAS,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,2023-02-14,34-337,GSW,@,LAC,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,,2023-02-23,34-346,GSW,@,LAL,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,,2023-02-24,34-347,GSW,,HOU,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,,2023-02-26,34-349,GSW,,MIN,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,,2023-02-28,34-351,GSW,,POR,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,,2023-03-02,34-353,GSW,,LAC,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,2023-03-03,34-354,GSW,,NOP,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,39,2023-03-05,34-356,GSW,@,LAL,L (-8),1,32:02,8,20,.400,5,13,.385,6,6,1.000,0,2,2,6,1,0,2,3,27,18.8,-12
