Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
33,27,2022-12-23,28-219,ATL,,DET,W (+25),1,24:39,4,5,.800,0,0,,2,2,1.000,3,7,10,0,1,2,3,3,10,10.5,+13
34,,2022-12-27,28-223,ATL,@,IND,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2022-12-28,28-224,ATL,,BRK,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2022-12-30,28-226,ATL,,LAL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2023-01-02,28-229,ATL,@,GSW,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2023-01-04,28-231,ATL,@,SAC,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2023-01-06,28-233,ATL,@,LAL,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2023-01-08,28-235,ATL,@,LAC,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2023-01-11,28-238,ATL,,MIL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2023-01-13,28-240,ATL,@,IND,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2023-01-14,28-241,ATL,@,TOR,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,28,2023-01-16,28-243,ATL,,MIA,W (+8),0,20:31,6,7,.857,0,0,,0,1,.000,0,6,6,0,0,3,0,1,12,12.6,-3
45,29,2023-01-18,28-245,ATL,@,DAL,W (+8),0,22:55,7,10,.700,0,0,,2,2,1.000,3,3,6,0,1,1,0,1,16,16.1,+10
46,30,2023-01-20,28-247,ATL,,NYK,W (+15),1,19:42,3,6,.500,0,0,,1,1,1.000,4,5,9,1,0,0,0,1,7,8.6,+15
47,31,2023-01-21,28-248,ATL,,CHO,L (-4),1,23:35,5,5,1.000,0,0,,2,2,1.000,3,6,9,0,2,1,1,2,12,15.3,+8
48,32,2023-01-23,28-250,ATL,@,CHI,L (-11),1,36:00,7,12,.583,0,1,.000,2,3,.667,3,9,12,1,2,2,2,2,16,16.1,-9
49,33,2023-01-25,28-252,ATL,@,OKC,W (+5),1,27:35,8,8,1.000,0,0,,2,6,.333,5,5,10,0,1,1,0,2,18,19.9,-18
50,34,2023-01-28,28-255,ATL,,LAC,L (-7),1,27:57,6,10,.600,0,0,,0,0,,7,6,13,2,2,1,0,2,12,17.4,0
51,35,2023-01-30,28-257,ATL,@,POR,L (-4),1,28:33,4,11,.364,0,0,,2,2,1.000,10,5,15,3,0,0,0,1,10,14.1,-2
52,36,2023-02-01,28-259,ATL,@,PHO,W (+32),1,22:22,4,9,.444,0,0,,1,1,1.000,3,7,10,1,1,0,0,1,9,9.8,+17
53,37,2023-02-03,28-261,ATL,@,UTA,W (+7),1,25:44,4,7,.571,0,0,,1,2,.500,2,11,13,1,0,1,2,3,9,8.2,+3
54,38,2023-02-04,28-262,ATL,@,DEN,L (-20),1,26:23,5,10,.500,0,0,,2,3,.667,3,8,11,0,0,0,1,3,12,8.9,-18
55,39,2023-02-07,28-265,ATL,@,NOP,L (-9),1,23:02,5,7,.714,0,0,,3,5,.600,2,6,8,0,0,0,0,2,13,11.7,-19
56,40,2023-02-09,28-267,ATL,,PHO,W (+9),1,25:19,3,8,.375,0,0,,1,2,.500,8,9,17,1,2,1,2,4,7,10.3,+11
