Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
33,25,2022-12-23,25-091,ATL,,DET,W (+25),1,29:10,4,10,.400,0,1,.000,0,0,,3,9,12,3,0,3,0,0,8,11.6,+23
34,26,2022-12-27,25-095,ATL,@,IND,L (-15),1,29:40,11,17,.647,3,6,.500,1,3,.333,2,8,10,0,0,1,1,6,26,18.8,-15
35,27,2022-12-28,25-096,ATL,,BRK,L (-1),1,33:30,8,16,.500,1,3,.333,4,6,.667,0,8,8,1,0,1,0,4,21,14.4,+7
36,28,2022-12-30,25-098,ATL,,LAL,L (-9),1,23:02,3,7,.429,0,3,.000,1,2,.500,2,7,9,0,0,0,2,6,7,2.0,+1
37,29,2023-01-02,25-101,ATL,@,GSW,L (-2),1,39:38,9,17,.529,1,5,.200,6,8,.750,2,11,13,1,1,2,2,4,25,20.1,-2
38,30,2023-01-04,25-103,ATL,@,SAC,W (+3),1,40:33,7,11,.636,2,4,.500,6,6,1.000,0,12,12,3,2,2,3,4,22,21.6,+2
39,31,2023-01-06,25-105,ATL,@,LAL,L (-16),1,37:24,7,18,.389,0,5,.000,2,3,.667,1,7,8,2,0,3,0,3,16,10.9,-3
40,32,2023-01-08,25-107,ATL,@,LAC,W (+4),1,30:53,6,10,.600,1,3,.333,0,0,,0,9,9,0,0,3,0,4,13,11.6,0
41,33,2023-01-11,25-110,ATL,,MIL,L (-9),1,33:17,7,11,.636,1,3,.333,0,0,,1,6,7,1,0,1,1,0,15,13.0,-12
42,34,2023-01-13,25-112,ATL,@,IND,W (+2),1,27:14,2,9,.222,1,2,.500,2,4,.500,3,5,8,0,1,1,2,4,7,2.4,-2
43,35,2023-01-14,25-113,ATL,@,TOR,W (+11),1,27:45,5,9,.556,0,3,.000,1,1,1.000,1,3,4,1,0,0,2,6,11,4.6,+4
44,36,2023-01-16,25-115,ATL,,MIA,W (+8),1,31:58,6,9,.667,0,1,.000,2,2,1.000,1,3,4,1,0,0,1,1,14,11.0,+9
45,37,2023-01-18,25-117,ATL,@,DAL,W (+8),1,33:57,8,14,.571,3,5,.600,0,0,,0,5,5,3,0,2,1,4,19,14.8,+2
